REF	COMMENT	DESCRIPTION
M1299	WNT STOP	
M1300	WENT STOP OK	
M1393	ZMIEN_CZAS_P_SW	
M1394	ZMIEN_CZAS	
M1395	START_STOP_SYNCH	
M1397	DST PANEL	
M1398	DST PLC	
M1952	STOP ZEGAR	
T5	GATE STOP READY	
T6	GATE UP OK	
T7	GATE CYCLE END	
T200	CZAS	
T201	ROZM SCH	
T202	MATA SZATNIA	
T205	CZAS PODL. 1 REK	
T206	CZAS PODL. 2 REK	
T207	CZAS PODL. 3 REK	
T208	CZAS PODL. 4 REK	
T209	CZAS PODL. 5 REK	
R12	urlop	
R40	³adowan ie g4 sz	
R50	Hour	
R51	DZIEÑ TYGODNIA	
R52	DZIEN grzejny	
R60	second zegar	
R61	minute	
R62	hour	
R63	dey	
R64	month	
R65	year	
R70	mata szatnia	
R100	zadanaKuchnia	
R101	zadana WC biuro	
R102	Zadana£azPrac	
R104	zadanaSzatnia	
R105	Sala Konf.	
R106	zadanaKsiegowe	
R107	zadanaNorwegia	
R108	zadanaNiemcy	
R109	zadanaSzef	
R1001	czujnik.Temp	
R1002	czujnik temp	
R1004	temp.Szatnia	
R1005	temp.Sala Konf	
R1006	temp.Ksiêgowe	
R1007	temp.Norwegia	
R1008	czujnik.Temp	
R1009	temp.Szef	
R1011	temp.Dolna	
R1015	t. zewn	
R1022	temp.Dolna	
R1044	temp.Dolna	
R4128	RTC_SEC	
R4129	RTC_MIN	
R4130	RTC_HOUR	
R4134	dzien tygodnia	
D0	MIN.£AD.P1	
D10	MIN.£AD.P2	
D13	ró¿nica P1	
D14	ró¿nicaP1	
D15	x2	
D20	MIN.£AD.P3	
D67	czas manual	
D68	czas manual	
D69	czas manual	
D80	czasBrama	
D101	x	
D102	x2	
D202	komfort	
D203	obni¿ona	
D500	bramaDol	
D501	bramaGora	
D502	wentOtwarcie	
D700	dSTART urlop	
D701	mSTART urlop	
D702	rSTART urlop	
D703	dSTOP urlop	
D704	mSTOP urlop	
D705	rSTOP urlop	
D1001	temp.Aktualna	
D1002	temp.Aktualna	
D1004	temp.Aktualna	
D1008	temp.Aktualna	
D1010	PODL. KOLEJKA	
D1020	PODL.CZAS 1 MIN	
D1021	PODL.CZAS 1 SEK	
D1022	PODL.CZAS 2 MIN	
D1023	PODL.CZAS 2 SEK	
D1024	PODL.CZAS 3 MIN	
D1025	PODL.CZAS 3 SEK	
D1026	PODL.CZAS 4 MIN	
D1027	CZAPODL.S 4 SEK	
D1028	PODL.CZAS 5 MIN	
D1029	PODL.CZAS 5 SEK	
D1040	1 PODL.AUTO GODZ	
D1041	1 PODL.AUTO MIN	
D1042	2 PODL.AUTO GODZ	
